order_id,order_date,customer_id,product_id,store_id,discount,quantity,sales_amount
O000198,2024-03-12,C01869,P017,S022,20,4,20425
O000199,2024-07-29,C02098,P023,S015,10,3,6037
O000200,2025-07-23,C01814,P040,S020,20,1,11081
O000201,2025-11-19,C09780,P073,S023,0,1,22044
O000202,2026-01-08,C08735,P037,S023,5,4,75650
O000203,2024-12-14,C02375,P085,S050,0,2,15826
O000204,2025-10-31,C01527,P058,S032,25,1,7947
O000205,2024-03-26,C07088,P021,S010,10,6,47601
O000206,2024-05-06,C09462,P027,S042,25,9,50037
O000207,2024-11-16,C08794,P011,S030,0,5,106240
O000208,2025-07-11,C03615,P039,S019,0,2,6126
O000209,2026-01-01,C02150,P094,S042,20,6,94521
O000210,2025-12-09,C03302,P063,S031,0,1,8088
O000211,2026-01-28,C08580,P028,S044,10,12,5162
O000212,2025-02-12,C03681,P084,S020,20,2,2588
O000213,2026-01-26,C09795,P047,S004,0,5,51700
O000214,2024-06-19,C03283,P047,S020,5,3,29469
O000215,2025-07-05,C02697,P004,S009,10,5,1165
O000216,2024-11-09,C04152,P061,S044,10,2,32594
O000217,2024-07-29,C01306,P018,S026,10,4,83293
O000218,2024-07-16,C00717,P050,S019,5,4,2276
O000219,2024-12-02,C05846,P093,S027,15,3,22032
O000220,2025-03-14,C05759,P036,S039,0,1,16338
O000221,2025-10-09,C03656,P091,S019,5,2,1615
O000222,2025-05-30,C06360,P001,S032,10,2,27806
O000223,2025-07-29,C08506,P035,S047,15,8,60288
O000224,2024-06-06,C02281,P005,S010,0,4,21432
O000225,2025-03-13,C02623,P006,S036,0,3,3810
O000226,2025-06-30,C09080,P060,S024,5,2,46591
O000227,2024-11-20,C04343,P100,S037,0,1,14398
O000228,2024-03-14,C02490,P005,S036,0,3,16074
O000229,2025-02-17,C01923,P032,S041,10,2,8272
O000230,2024-06-24,C06279,P039,S019,0,2,6126
O000231,2025-08-12,C08116,P095,S041,5,7,24299
O000232,2024-07-03,C08050,P040,S024,25,2,20778
O000233,2024-10-22,C04030,P042,S014,20,5,94956
O000234,2025-06-29,C03064,P074,S038,5,4,45467
O000235,2024-07-23,C08353,P095,S015,0,12,43848
O000236,2025-09-07,C09676,P008,S011,30,2,14219
O000237,2025-03-30,C03893,P091,S044,0,5,4250
O000238,2025-08-01,C01738,P029,S015,15,5,72479
O000239,2025-10-09,C04221,P060,S022,20,1,19617
O000240,2025-11-13,C07081,P078,S004,30,4,54798
O000241,2025-12-31,C09563,P023,S024,5,5,10621
O000242,2024-03-18,C03396,P004,S026,5,3,738
O000243,2024-11-02,C02455,P034,S005,10,9,167661
O000244,2025-07-30,C04958,P038,S038,5,1,22559
O000245,2024-06-11,C02288,P061,S012,0,3,54324
O000246,2025-11-19,C09429,P027,S002,0,8,59304
O000247,2025-11-12,C08151,P083,S038,0,2,28646
O000248,2025-07-07,C06293,P031,S039,0,1,7240
O000249,2024-12-10,C09399,P003,S030,0,1,7577
O000250,2025-07-12,C08697,P093,S028,5,11,90288
O000251,2026-01-11,C09596,P077,S043,25,3,10739
O000252,2025-08-23,C09960,P027,S005,10,5,33358
O000253,2024-12-17,C03734,P043,S041,0,8,96448
O000254,2024-11-13,C08893,P060,S027,20,1,19617
O000255,2025-08-01,C05114,P096,S008,0,5,96100
O000256,2024-08-25,C03006,P046,S041,5,5,87495
O000257,2025-08-16,C04791,P037,S033,10,2,35834
O000258,2024-07-13,C00011,P067,S014,5,4,78865
O000259,2025-04-19,C05222,P006,S044,10,4,4572
O000260,2024-08-31,C03678,P059,S042,0,4,58072
O000261,2025-09-29,C09165,P003,S019,5,1,7198
O000262,2024-03-08,C07335,P077,S028,0,1,4773
O000263,2024-11-02,C05165,P011,S045,0,3,63744
O000264,2025-09-16,C09034,P027,S046,5,10,70423
O000265,2025-11-07,C06861,P002,S036,5,4,31931
O000266,2024-04-29,C08106,P064,S017,0,2,4240
O000267,2025-12-09,C00285,P044,S030,5,2,22275
O000268,2024-02-27,C06544,P076,S037,0,4,59080
O000269,2025-07-12,C05571,P055,S012,5,2,37621
O000270,2024-05-13,C05732,P040,S007,5,5,65797
O000271,2025-05-01,C07612,P076,S033,10,8,106344
O000272,2025-01-02,C02436,P023,S022,0,10,22360
O000273,2025-07-30,C07524,P064,S031,0,2,4240
O000274,2024-12-13,C01030,P095,S025,10,3,9865
O000275,2026-01-11,C06585,P057,S024,10,4,85701
O000276,2025-03-01,C08092,P010,S032,0,6,54186
O000277,2025-11-24,C04452,P035,S023,5,3,25268
O000278,2025-04-15,C02967,P006,S030,5,4,4826
O000279,2024-04-27,C07756,P089,S036,5,3,13372
O000280,2026-01-04,C00554,P095,S041,0,6,21924
O000281,2025-08-21,C00268,P054,S015,5,4,85982
O000282,2024-06-28,C07136,P094,S026,10,5,88614
O000283,2026-02-02,C01241,P079,S007,15,3,32316
O000284,2026-01-15,C04160,P067,S030,10,2,37357
O000285,2025-03-25,C02490,P082,S025,0,4,81716
O000286,2025-09-10,C07859,P056,S023,20,1,16603
O000287,2025-07-08,C05395,P081,S027,0,2,25242
O000288,2025-07-22,C08662,P060,S037,5,1,23295
O000289,2025-10-31,C03288,P014,S031,0,1,7568
O000290,2025-06-05,C02020,P046,S029,10,4,66312
O000291,2025-07-28,C09782,P016,S017,15,2,15636
O000292,2024-10-22,C05314,P027,S007,15,9,56709
O000293,2025-12-09,C04318,P037,S049,0,3,59724
O000294,2024-09-03,C05825,P097,S004,5,10,140885
O000295,2024-04-14,C09612,P061,S045,5,3,51607
O000296,2024-04-20,C09073,P020,S035,0,4,79880
O000297,2024-12-03,C00839,P025,S018,10,1,17915
O000298,2025-09-30,C08944,P050,S040,0,12,7188
O000299,2024-09-06,C08462,P058,S049,5,1,10067
O000300,2025-10-09,C04828,P078,S005,10,3,52841
O000301,2025-03-08,C06988,P037,S033,10,2,35834
O000302,2024-07-08,C03504,P005,S007,15,2,9108
O000303,2024-07-14,C07825,P054,S043,5,5,107478
O000304,2024-09-29,C02076,P037,S022,15,5,84609
O000305,2025-12-26,C01313,P074,S044,25,5,44868
O000306,2024-06-23,C02285,P010,S044,5,4,34317
O000307,2024-03-08,C08576,P009,S026,0,4,5148
O000308,2025-11-01,C02809,P078,S027,0,4,78284
O000309,2025-12-22,C08996,P033,S001,5,3,22962
O000310,2025-03-23,C09289,P093,S043,5,10,82080
O000311,2025-01-12,C06522,P024,S013,25,2,5028
O000312,2024-11-06,C06356,P070,S010,15,5,50213
O000313,2024-05-16,C03720,P057,S023,25,3,53563
O000314,2026-02-04,C04772,P026,S012,5,3,16626
O000315,2025-03-10,C02697,P039,S047,0,1,3063
O000316,2024-08-26,C05797,P044,S015,0,4,46896
O000317,2025-08-20,C00809,P064,S012,15,1,1802
O000318,2024-09-03,C03294,P048,S024,5,3,47278
O000319,2025-03-13,C09498,P067,S049,10,5,93393
O000320,2025-09-11,C03460,P048,S032,10,2,29860
O000321,2024-10-14,C02420,P040,S026,25,2,20778
O000322,2026-02-09,C04225,P046,S016,5,1,17499
O000323,2025-02-02,C07572,P096,S035,10,8,138384
O000324,2025-12-22,C06364,P090,S048,0,5,71400
O000325,2024-09-15,C09389,P003,S040,5,2,14396
O000326,2025-08-29,C04568,P076,S016,15,9,112990
O000327,2026-01-02,C03525,P014,S018,10,2,13622
O000328,2025-06-17,C06752,P083,S018,5,2,27213
O000329,2024-12-13,C09718,P004,S016,10,1,233
O000330,2024-08-03,C06238,P012,S015,0,1,11009
O000331,2024-10-14,C09792,P099,S023,15,11,179940
O000332,2024-03-12,C09237,P023,S035,15,11,20906
O000333,2025-06-24,C05320,P003,S007,10,2,13638
O000334,2025-05-09,C01868,P003,S008,5,1,7198
O000335,2024-05-21,C01376,P042,S050,0,3,71217
O000336,2024-12-08,C08131,P080,S005,15,1,19317
O000337,2024-06-13,C05402,P077,S029,0,5,23865
O000338,2024-11-19,C08804,P019,S028,25,2,29355
O000339,2024-05-29,C06993,P028,S030,10,7,3011
O000340,2024-04-08,C03317,P038,S037,0,2,47494
O000341,2025-07-05,C01599,P009,S026,0,5,6435
O000342,2025-04-14,C04950,P056,S013,10,5,93393
O000343,2025-10-24,C06573,P017,S041,30,5,22340
O000344,2025-06-09,C00639,P007,S045,0,1,15179
O000345,2024-11-13,C04167,P072,S017,0,3,32301
O000346,2025-03-01,C00646,P076,S046,10,7,93051
O000347,2024-02-12,C05885,P054,S045,10,2,40728
O000348,2024-09-07,C06669,P028,S034,15,4,1625
O000349,2025-05-05,C00090,P066,S029,15,11,11014
O000350,2025-09-06,C09016,P028,S042,10,7,3011
O000351,2026-02-05,C00551,P025,S007,0,1,19906
O000352,2025-04-09,C08252,P091,S014,10,4,3060
O000353,2024-09-12,C05225,P099,S036,0,10,192450
O000354,2024-10-05,C05582,P079,S016,0,4,50692
O000355,2024-02-17,C04179,P049,S015,10,7,117803
O000356,2025-01-22,C09436,P048,S040,5,5,78797
O000357,2024-04-20,C03480,P099,S007,10,11,190525
O000358,2026-01-15,C09138,P047,S046,0,1,10340
O000359,2024-05-17,C09833,P062,S036,30,5,33124
O000360,2024-09-06,C06092,P033,S033,5,1,7654
O000361,2024-03-03,C02634,P042,S045,15,2,40356
O000362,2025-08-16,C06791,P087,S043,5,6,45486
O000363,2025-11-05,C03502,P027,S006,0,11,81543
O000364,2025-03-29,C00890,P008,S001,0,2,20314
O000365,2025-02-17,C08766,P062,S023,15,1,8044
O000366,2024-04-07,C08705,P038,S035,10,2,42744
O000367,2024-07-05,C07247,P004,S039,0,2,518
O000368,2024-08-31,C04161,P054,S006,5,1,21495
O000369,2024-06-15,C04052,P048,S010,0,2,33178
O000370,2025-03-13,C02231,P069,S015,10,4,87793
O000371,2024-12-20,C05186,P016,S005,5,2,17476
O000372,2025-03-17,C07376,P061,S012,0,3,54324
O000373,2024-07-26,C06198,P018,S032,15,5,98332
O000374,2024-11-06,C02284,P045,S005,5,5,29108
O000375,2024-08-03,C04985,P018,S042,10,3,62469
O000376,2024-07-09,C00612,P008,S002,10,2,18282
O000377,2025-03-15,C08630,P029,S041,5,4,64805
O000378,2026-01-31,C09652,P021,S033,0,11,96965
O000379,2024-06-20,C06838,P054,S042,10,5,101821
O000380,2024-06-06,C07107,P091,S006,5,1,807
O000381,2024-08-21,C07276,P047,S026,25,1,7755
O000382,2025-01-03,C08716,P066,S026,5,12,13429
O000383,2025-01-25,C03578,P068,S008,5,1,11510
O000384,2026-02-06,C06487,P048,S025,20,4,53084
O000385,2025-12-12,C02262,P076,S023,5,12,168378
O000386,2024-07-29,C01024,P080,S038,0,5,113630
O000387,2024-11-14,C09772,P089,S017,5,3,13372
O000388,2024-11-30,C08514,P023,S016,0,11,24596
O000389,2024-06-01,C07236,P017,S045,5,1,6063
O000390,2024-05-12,C03758,P061,S046,15,1,15391
O000391,2025-11-28,C08069,P052,S027,0,5,68680
O000392,2024-09-14,C08642,P042,S025,5,5,112760
O000393,2025-02-19,C01285,P051,S032,5,3,22914
O000394,2026-01-20,C01661,P001,S025,0,3,46344
O000395,2024-12-26,C05354,P021,S032,5,4,33497
O000396,2024-12-29,C00904,P057,S040,15,4,80940
O000397,2025-01-10,C09370,P036,S019,15,1,13887
O000398,2025-06-14,C08522,P002,S046,0,4,33612
O000399,2024-07-09,C08829,P023,S022,5,6,12745
O000400,2025-06-04,C06011,P060,S019,10,1,22069
O000401,2024-03-24,C00413,P059,S011,20,5,58072
O000402,2024-11-10,C06640,P066,S022,10,3,3180
O000403,2025-07-08,C03834,P043,S020,10,7,75952
O000404,2024-03-17,C02416,P059,S047,0,3,43554
O000405,2025-12-15,C02587,P074,S016,5,4,45467
O000406,2025-03-22,C05572,P073,S045,5,2,41883
O000407,2024-05-14,C09757,P093,S043,5,12,98496
O000408,2024-05-11,C08673,P090,S011,0,10,142800
O000409,2025-04-13,C06558,P036,S047,0,1,16338
O000410,2024-05-12,C06281,P060,S006,10,2,44139
O000411,2025-11-11,C02883,P093,S041,5,11,90288
O000412,2024-09-07,C02520,P004,S003,0,5,1295
O000413,2024-10-02,C04401,P021,S019,0,5,44075
O000414,2025-10-31,C08847,P097,S042,0,11,163130
O000415,2024-10-28,C00181,P095,S010,0,11,40194
O000416,2025-12-28,C04126,P092,S032,20,2,3880
O000417,2025-03-12,C03020,P100,S021,5,2,27356
O000418,2024-12-01,C00765,P097,S031,10,11,146817
O000419,2026-02-06,C04136,P004,S006,0,1,259
O000420,2024-05-16,C05039,P004,S046,0,4,1036
O000421,2025-05-11,C06800,P033,S037,0,2,16114
O000422,2024-03-13,C03391,P014,S004,10,5,34056
O000423,2025-12-25,C09975,P009,S045,5,3,3667
O000424,2024-05-07,C01065,P088,S035,5,1,6919
O000425,2025-12-20,C02457,P064,S013,0,1,2120
O000426,2024-09-22,C05682,P062,S039,5,2,17981
O000427,2024-06-26,C01347,P089,S012,5,1,4457
O000428,2024-11-26,C06998,P007,S043,0,1,15179
O000429,2024-09-22,C09375,P092,S023,5,5,11518
O000430,2025-07-29,C04133,P005,S003,15,1,4554
O000431,2024-07-23,C02454,P013,S050,15,3,38800
O000432,2025-07-01,C00539,P002,S017,0,3,25209
O000433,2024-05-10,C02304,P084,S022,0,1,1618
O000434,2026-02-04,C06422,P012,S046,0,5,55045
O000435,2025-08-10,C00249,P091,S029,10,3,2295
O000436,2025-09-26,C09233,P007,S027,5,2,28840
O000437,2025-10-24,C01392,P034,S043,10,10,186291
O000438,2024-06-07,C02173,P021,S007,0,7,61705
O000439,2025-10-20,C01336,P060,S004,10,1,22069
O000440,2024-09-03,C02260,P082,S043,5,3,58222
O000441,2024-08-19,C06616,P010,S011,10,11,89406
O000442,2024-02-11,C05535,P038,S033,20,1,18997
O000443,2024-08-04,C08692,P058,S035,25,2,15895
O000444,2024-11-28,C00811,P056,S028,5,3,59148
O000445,2025-08-29,C04985,P044,S018,0,3,35172
O000446,2024-10-02,C07349,P085,S006,20,5,31652
O000447,2025-10-02,C07557,P080,S023,5,3,64769
O000448,2025-09-06,C03714,P064,S034,5,1,2014
O000449,2025-06-22,C03705,P020,S016,0,1,19970
O000450,2025-11-30,C01211,P050,S023,20,8,3833
O000451,2024-09-20,C03746,P054,S035,25,1,16970
O000452,2025-11-18,C07792,P046,S006,25,1,13815
O000453,2025-02-18,C01492,P040,S024,5,5,65797
O000454,2024-09-22,C07302,P024,S015,15,4,11396
O000455,2024-03-03,C06461,P085,S050,10,4,28486
O000456,2025-10-22,C03049,P058,S009,5,2,20134
O000457,2025-12-05,C04920,P031,S046,15,1,6154
O000458,2025-10-10,C02935,P050,S008,5,10,5690
O000459,2025-12-31,C06111,P010,S033,10,9,73151
O000460,2025-12-21,C01818,P084,S026,20,5,6472
O000461,2025-01-06,C06614,P014,S017,10,5,34056
O000462,2024-09-26,C04320,P019,S031,20,2,31312
O000463,2025-11-02,C01276,P030,S011,5,1,15576
O000464,2025-02-03,C07232,P057,S026,0,5,119030
O000465,2024-08-03,C02878,P016,S004,5,2,17476
O000466,2024-05-04,C04015,P022,S008,5,1,3146
O000467,2025-04-28,C04088,P054,S024,0,2,45254
O000468,2025-08-03,C01148,P084,S023,10,1,1456
O000469,2024-07-11,C00238,P070,S014,0,4,47260
O000470,2024-03-30,C02123,P043,S039,5,10,114532
O000471,2024-05-15,C07610,P097,S043,0,3,44490
O000472,2024-03-20,C04596,P019,S019,25,1,14677
O000473,2024-10-30,C09738,P005,S002,0,1,5358
O000474,2024-11-10,C03984,P071,S004,20,10,95680
O000475,2025-05-06,C08135,P098,S044,20,5,33124
O000476,2024-07-19,C05607,P020,S049,5,5,94857
O000477,2025-05-06,C09179,P015,S011,0,2,22114
O000478,2025-10-15,C01624,P038,S032,10,1,21372
O000479,2024-08-18,C07227,P001,S019,0,5,77240
O000480,2026-01-14,C00723,P005,S025,10,1,4822
O000481,2024-04-17,C01096,P098,S050,0,2,16562
O000482,2025-12-03,C03828,P054,S050,0,2,45254
O000483,2024-08-26,C04286,P085,S033,0,4,31652
O000484,2025-04-10,C00996,P061,S013,10,3,48891
O000485,2025-09-04,C05682,P078,S041,15,2,33270
O000486,2024-02-24,C04662,P017,S003,15,2,10851
O000487,2024-04-14,C00993,P076,S015,10,4,53172
O000488,2026-01-18,C02784,P027,S030,0,5,37065
O000489,2025-12-02,C08348,P070,S036,5,4,44897
O000490,2024-06-09,C05683,P025,S011,10,5,89577
O000491,2024-06-14,C09969,P091,S004,10,3,2295
O000492,2024-11-29,C05962,P045,S042,0,3,18384
O000493,2025-10-07,C04769,P002,S043,10,2,15125
O000494,2024-11-02,C05761,P022,S028,5,1,3146
O000495,2024-09-26,C05205,P096,S039,5,8,146072
O000496,2025-08-07,C07553,P054,S049,10,4,81457
O000497,2024-07-16,C08247,P017,S030,10,3,17234
